DATE,COUNTY,PAGE_HEADER,SUB_DATA_HEADER,GOV_ACTIVITIES,BUS_ACTIVITY,TOTAL,EXPENSES,CHARGES_FOR_SERVICES,OPERATING GRANTS AND CONTRIBUTIONS,CAPITAL GRANTS AND CONTRIBUTIONS,GENERAL,TOTAL_GOVERNMENTAL_FUNDS,Business-type Activities - Enterprise Funds - TOTAL,SCHEDULE OF CHANGES IN NET PENSION LIABILITY AND RELATED RATIOS,SCHEDULE OF CONTRIBUTIONS,SCHEDULE OF CHANGES IN NET OPEB LIABILITY AND RELATED RATIOS
" December 31, 2018",WASHTENAW COUNTY,"Statement of Revenues, Expenditures and Changes in Fund Balances - Governmental Funds",Debt Service: Principal - EXPENDITURES,,,,,,,,"7 42,547"," 5,305,594",,,,
" December 31, 2018",WASHTENAW COUNTY,"Statement of Revenues, Expenditures and Changes in Fund Balances - Governmental Funds",Debt Service: Interest and fiscal charges - EXPENDITURES,,,,,,,,"33,237","8 44,070",,,,
" December 31, 2018",WASHTENAW COUNTY,"Statement of Revenues, Expenditures and Changes in Fund Balances - Governmental Funds",Capital outlay - EXPENDITURES,,,,,,,,0," 3,558,314",,,,
" December 31, 2018",WASHTENAW COUNTY,"Statement of Revenues, Expenditures and Changes in Fund Balances - Governmental Funds",Total expenditures - EXPENDITURES,,,,,,,,"93,496,187","266,575,080",,,,
" December 31, 2018",WASHTENAW COUNTY,"Statement of Revenues, Expenditures and Changes in Fund Balances - Governmental Funds",Total other financing sources (uses),,,,,,,,"-19,348,290"," 7,828,980",,,,
" December 31, 2018",WASHTENAW COUNTY,"Statement of Revenues, Expenditures and Changes in Fund Balances - Governmental Funds",Net change in fund balances,,,,,,,,0,"12,298,922",,,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,Cash and pooled investments,,,,,,,,,,"14,578,257",,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,"Noncurrent assets - capital assets, net",,,,,,,,,,"11,202",,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,Total assets,,,,,,,,,,"28,438,719",,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,Total current liabilities,,,,,,,,,,"10,362,860",,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,Total noncurrent liabilities,,,,,,,,,,"4,833,353",,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,Total liabilities,,,,,,,,,,"15,196,213",,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,Investment in capital assets,,,,,,,,,,"11,202",,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,Unrestricted,,,,,,,,,,0,,,
"December 31, 2018",WASHTENAW COUNTY,Proprietary Funds - Statement of Net Position,Total net position,,,,,,,,,,"13,242,506",,,
" December 31, 2018",WASHTENAW COUNTY,"Proprietary Funds - Statement of Revenues, Expenses and Changes in Fund Net Position",Total operating revenues,,,,,,,,,,"3,085,453",,,
" December 31, 2018",WASHTENAW COUNTY,"Proprietary Funds - Statement of Revenues, Expenses and Changes in Fund Net Position",Total operating expenses,,,,,,,,,,"665,912",,,
" December 31, 2018",WASHTENAW COUNTY,"Proprietary Funds - Statement of Revenues, Expenses and Changes in Fund Net Position",Total nonoperating revenues,,,,,,,,,,"112,325",,,
" December 31, 2018",WASHTENAW COUNTY,"Proprietary Funds - Statement of Revenues, Expenses and Changes in Fund Net Position",Change in net position,,,,,,,,,,"-219,703",,,
" December 31, 2018",WASHTENAW COUNTY,Employees' Retirement System,"Total pension liability, end of year",,,,,,,,,,,"370,652,018",,
" December 31, 2018",WASHTENAW COUNTY,Employees' Retirement System,"Plan fiduciary net position, end of year",,,,,,,,,,,"254,088,766",,
" December 31, 2018",WASHTENAW COUNTY,Employees' Retirement System,County's net pension liability,,,,,,,,,,,"116,563,252",,
" December 31, 2018",WASHTENAW COUNTY,Employees' Retirement System,Plan fiduciary net position as a percentage of total pension liability ,,,,,,,,,,,68.55%,,
"December 31, 2018",WASHTENAW COUNTY,Employees' Retirement System,Actuarially Determined Contribution,,,,,,,,,,,,"9,565,911",
"December 31, 2018",WASHTENAW COUNTY,Employees' Retirement System,Contributions in Relation to the Actuarially Determined Contribution,,,,,,,,,,,,"9,565,911",
"December 31,  2018",WASHTENAW COUNTY,Voluntary Employees' Beneficiary Association,"Total OPEB liability, end of year",,,,,,,,,,,,,"249,217,808"
"December 31,  2018",WASHTENAW COUNTY,Voluntary Employees' Beneficiary Association,"Plan fiduciary net position, end of year",,,,,,,,,,,,,"121,100,985"
"December 31,  2018",WASHTENAW COUNTY,Voluntary Employees' Beneficiary Association,County's net OPEB liability,,,,,,,,,,,,,"128,116,823"
"December 31,  2018",WASHTENAW COUNTY,Voluntary Employees' Beneficiary Association,Plan fiduciary net position as a percentage of total OPEB liability ,,,,,,,,,,,,,48.59%
"December 31, 2018",WASHTENAW COUNTY,Voluntary Employees' Beneficiary Association,Actuarially Determined Contribution,,,,,,,,,,,,"11,223,504",
"December 31, 2018",WASHTENAW COUNTY,Voluntary Employees' Beneficiary Association,Contributions in Relation to the Actuarially Determined Contribution,,,,,,,,,,,,"11,223,504",
" December 31, 2018",WASHTENAW COUNTY,Municipal Employees' Retirement System of Michigan,"Total pension liability, end of year",,,,,,,,,,,"124,558,097",,
" December 31, 2018",WASHTENAW COUNTY,Municipal Employees' Retirement System of Michigan,"Plan fiduciary net position, end of year",,,,,,,,,,,"88,300,515",,
" December 31, 2018",WASHTENAW COUNTY,Municipal Employees' Retirement System of Michigan,Plan fiduciary net position as a percentage of total pension liability ,,,,,,,,,,,70.89%,,
"December 31, 2018",WASHTENAW COUNTY,Municipal Employees' Retirement System of Michigan,Actuarially Determined Contribution,,,,,,,,,,,,"3,811,957",
